timestamp,server,latency,predicted,is_spike,spike_severity,suggested_server,improvement
1748457656.158774,x.com,52.0,109.18340784814744,False,0,,
1748457661.211806,x.com,38.0,58.840633076376676,False,0,,
1748457666.3519552,x.com,66.0,40.21814323940853,False,0,,
1748457671.3968241,x.com,55.25,62.89007673805029,False,0,,
1748457676.4403963,x.com,49.4,56.23646215546614,False,0,,
1748457681.4857216,x.com,44.833333333333336,50.3289507327839,False,0,,
1748457686.5479708,x.com,43.285714285714285,45.61352005470366,False,0,,
1748457691.5797305,x.com,39.625,43.63170398676053,False,0,,
1748457696.6164768,x.com,36.77777777777778,40.23819553338512,False,0,,
1748457701.6676438,x.com,36.6,37.326224478503065,False,0,,
1748457706.7813022,x.com,39.9,36.724888940917396,False,0,,
1748457711.8175073,x.com,39.0,39.38115407985953,False,0,,
1748457717.063651,x.com,48.4,39.07179934587004,False,0,,
1748457722.1250033,x.com,49.0,45.83619424812751,False,0,,
1748457727.2069054,x.com,51.3,48.88032792769679,False,0,,
1748457732.2712176,x.com,51.5,51.06971802206078,False,0,,
1748457737.5487428,x.com,72.7,51.44729619004261,False,0,,
1748457742.6782012,x.com,81.4,69.64186526691822,False,0,,
1748457747.7328908,x.com,83.7,79.53334052050249,False,0,,
1748457752.8665366,x.com,90.8,82.97377867229089,False,0,,
1748457757.9389665,x.com,85.8,89.39372080786646,False,0,,
1748457763.0577452,x.com,92.8,86.42518218326025,False,0,,
1748457768.1877155,x.com,80.1,91.55901071910743,False,0,,
1748457773.276577,x.com,81.9,82.31580345624796,False,0,,
1748457778.4410868,x.com,89.4,81.95957321639622,False,0,,
1748457783.4985456,x.com,90.6,90.13129352841796,False,0,,
1748457788.5454278,x.com,68.0,90.47530273342223,False,0,,
1748457793.5996764,x.com,60.7,71.24315247732241,False,0,,
lse,0,,
1748457795.7082403,x.com,47.0,46.25267823874113,False,0,,
748457782.739524,x.com,38.2,37.26869638564267,False,0,,
1748457787.8542643,x.com,42.6,38.07167541532578,False,0,,
1748457792.9199166,x.com,41.9,41.83873129506942,False,0,,
.com,70.1,92.04104500624885,False,0,,
1748457793.7815492,x.com,63.0,73.91793300356497,False,0,,
.08998176408709,False,0,,
1748457788.7068486,x.com,69.4,91.69097900335413,False,0,,
1748457793.769547,x.com,63.5,73.37985549269274,False,0,,
6,x.com,37.0,41.736086437231315,False,0,,
1748457783.631938,x.com,34.4,36.89010113114483,False,0,,
1748457788.7139158,x.com,33.4,34.888564042675014,False,0,,
1748457793.7815492,x.com,33.7,33.73272812471762,False,0,,
,41.58606545433372,False,0,,
